id,host_id,distrito,barrio,tipo_alquiler,precio,accommodates,bedrooms,beds,minimo_noches,total_inmuebles_host,disponibilidad_365,dis_centro,tipo_fuente,latitude,longitude
23662301,121643082,CIUTAT VELLA,EL PILAR,Entire home/apt,126.0,6,2.0,3.0,1,19,141,0.5842337364252297,Mercado,39.47301,-0.38175
23662303,121643082,CIUTAT VELLA,EL PILAR,Entire home/apt,153.0,7,3.0,4.0,1,18,206,0.5849140984649899,Mercado,39.47302,-0.38175
23662304,121643082,CIUTAT VELLA,EL PILAR,Entire home/apt,126.0,5,2.0,3.0,1,19,302,0.5822006294381564,Mercado,39.47298,-0.38175
23662305,121643082,CIUTAT VELLA,LA XEREA,Entire home/apt,81.0,2,0.0,1.0,1,18,137,0.5149725368922364,Mercado,39.47273,-0.37172
23662306,121643082,CIUTAT VELLA,LA XEREA,Entire home/apt,127.5,6,2.0,4.0,1,18,114,0.5156376284784565,Mercado,39.47273,-0.37171
23662307,121643082,CIUTAT VELLA,LA XEREA,Entire home/apt,110.0,4,1.0,2.0,1,18,165,0.5136440758581355,Mercado,39.47273,-0.37174
23662308,121643082,CIUTAT VELLA,LA XEREA,Entire home/apt,97.5,4,1.0,2.0,1,19,100,0.5143080186104265,Mercado,39.47273,-0.37173
23662309,121643082,EXTRAMURS,EL BOTANIC,Entire home/apt,90.0,4,1.0,2.0,1,19,134,0.9061499783144098,Mercado,39.47411,-0.38532
23662310,121643082,EXTRAMURS,EL BOTANIC,Entire home/apt,123.0,6,2.0,4.0,1,19,244,0.9068786963509939,Mercado,39.47411,-0.38533
23662740,129534099,CIUTAT VELLA,SANT FRANCESC,Entire home/apt,120.33333333333333,2,1.0,1.0,2,3,248,0.10527349644856501,Mercado,39.46956,-0.37755
23668116,107477338,PATRAIX,PATRAIX,Entire home/apt,98.5,4,2.0,3.0,7,5,238,1.7235286437496071,Mercado,39.46466,-0.3953
23669966,63069686,CAMPANAR,LES TENDETES,Entire home/apt,147.25,7,3.0,5.0,6,2,232,1.6136546045465388,Mercado,39.4825,-0.38545
23678859,21369157,L'EIXAMPLE,RUSSAFA,Entire home/apt,130.5,6,2.0,3.0,1,11,307,0.8741794749230114,Mercado,39.46209,-0.37834
23683437,168865710,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,Entire home/apt,122.75,4,1.0,2.0,2,1,67,2.3234664300695296,Mercado,39.45484924316406,-0.3574669957160949
23683973,177376765,CIUTAT VELLA,EL CARME,Entire home/apt,100.33333333333333,3,1.0,2.0,5,3,43,0.9397189380228064,Mercado,39.47607,-0.3837
23696598,77720336,LA SAIDIA,MARXALENES,Entire home/apt,183.0,6,3.0,3.0,4,2,46,1.8649958373014082,Mercado,39.48628,-0.38037
23697771,177514208,EXTRAMURS,LA PETXINA,Entire home/apt,147.75,4,2.0,2.0,2,1,79,1.07552058985847,Mercado,39.47108,-0.38878
23706369,14182776,CIUTAT VELLA,LA SEU,Entire home/apt,242.0,6,3.0,3.0,1,60,46,0.8898365102779267,Mercado,39.47779,-0.37584
23710339,4127436,CIUTAT VELLA,EL CARME,Entire home/apt,131.5,4,2.0,3.0,4,1,158,0.8160996419303883,Mercado,39.47706,-0.37774
23744119,178047513,PATRAIX,PATRAIX,Entire home/apt,78.75,6,3.0,5.0,1,1,90,1.673734662003581,Mercado,39.46505,-0.39486
23749828,178106512,CIUTAT VELLA,SANT FRANCESC,Entire home/apt,128.0,4,1.0,2.0,1,1,94,0.27093407849397405,Mercado,39.46953,-0.3795
23755288,178174911,CIUTAT VELLA,EL PILAR,Entire home/apt,166.5,3,1.0,2.0,11,1,110,0.7749154021298257,Mercado,39.47434,-0.38321
23759054,178118695,L'EIXAMPLE,RUSSAFA,Entire home/apt,140.75,4,2.0,2.0,4,1,161,0.89517756006792,Mercado,39.46185,-0.37474
23768300,933504,CIUTAT VELLA,EL CARME,Entire home/apt,177.0,4,2.0,2.0,10,1,0,0.9867972187569375,Mercado,39.47843,-0.37903
23768798,137557003,CIUTAT VELLA,EL MERCAT,Entire home/apt,58.666666666666664,2,1.0,1.0,32,18,264,0.6181382124599906,Mercado,39.4751,-0.37853
23782265,40929334,EXTRAMURS,ARRANCAPINS,Entire home/apt,109.75,2,1.0,1.0,1,1,122,1.070012307559987,Mercado,39.46918,-0.3888
23798300,176748844,PATRAIX,PATRAIX,Entire home/apt,131.75,4,2.0,2.0,4,1,29,1.9060809529858116,Mercado,39.46391,-0.39721
23799737,178599353,L'EIXAMPLE,RUSSAFA,Entire home/apt,63.0,3,1.0,2.0,7,1,79,1.210742659056666,Mercado,39.45904,-0.37423
23821017,178807511,CIUTAT VELLA,EL MERCAT,Entire home/apt,231.33333333333334,6,3.0,3.0,2,2,213,0.4693991225161907,Mercado,39.47307,-0.37982
23822118,178807511,CIUTAT VELLA,EL MERCAT,Entire home/apt,212.0,6,3.0,3.0,2,2,240,0.5981740969194591,Mercado,39.4742,-0.38037
23875277,128136490,CIUTAT VELLA,SANT FRANCESC,Entire home/apt,86.75,2,1.0,2.0,2,3,8,0.2763943007305157,Mercado,39.47004,-0.37316
23878047,179400357,CIUTAT VELLA,EL MERCAT,Entire home/apt,267.0,4,2.0,3.0,2,1,295,0.5608552359126378,Mercado,39.4748,-0.37721
24008207,180664830,CIUTAT VELLA,LA SEU,Entire home/apt,130.66666666666666,4,2.0,2.0,4,1,12,0.6507394354527258,Mercado,39.47562,-0.37559
24012961,97229818,CIUTAT VELLA,EL MERCAT,Entire home/apt,155.75,6,2.0,3.0,1,66,265,0.62467275717871,Mercado,39.47407,-0.38109
24016176,2850884,L'EIXAMPLE,RUSSAFA,Entire home/apt,134.5,4,2.0,2.0,3,17,239,1.1143811528020255,Mercado,39.4602,-0.37265
24061320,106423765,CAMINS AL GRAU,LA CREU DEL GRAU,Entire home/apt,102.0,4,2.0,3.0,30,9,166,3.29362152830145,Mercado,39.46115,-0.33968
24146457,18452236,ALGIROS,CIUTAT JARDI,Entire home/apt,190.25,8,4.0,5.0,3,1,81,2.649503093426685,Mercado,39.47345,-0.34587
24151654,14182776,EL PLA DEL REAL,MESTALLA,Entire home/apt,189.75,4,3.0,3.0,1,68,170,1.8339995648536238,Mercado,39.47319,-0.35546
24235892,182729470,CAMINS AL GRAU,ALBORS,Entire home/apt,97.25,2,1.0,2.0,2,1,2,1.9572488347045354,Mercado,39.470245,-0.353576
24259087,31333583,CIUTAT VELLA,EL MERCAT,Entire home/apt,150.25,2,1.0,2.0,3,1,171,0.3871706573702579,Mercado,39.47328,-0.37626
24289154,183217403,ALGIROS,CIUTAT JARDI,Entire home/apt,69.5,5,3.0,3.0,7,2,35,2.351180157571583,Mercado,39.47035,-0.34899
24300841,178259116,L'EIXAMPLE,RUSSAFA,Entire home/apt,115.0,6,3.0,6.0,11,1,355,1.115831721471311,Mercado,39.46116,-0.36976
24375132,183703539,CAMPANAR,LES TENDETES,Entire home/apt,122.5,4,2.0,2.0,4,2,180,1.989017767824553,Mercado,39.48575,-0.38684
24435383,184538988,CIUTAT VELLA,LA SEU,Entire home/apt,116.25,2,1.0,1.0,3,1,69,0.48802480248174135,Mercado,39.47418,-0.3767
24459531,179154966,CIUTAT VELLA,EL CARME,Entire home/apt,192.0,2,1.0,1.0,1,2,299,0.9535647126568207,Mercado,39.47831,-0.37771
24460723,179154966,CIUTAT VELLA,LA SEU,Entire home/apt,242.75,4,2.0,2.0,1,2,330,0.9532518845882606,Mercado,39.47834,-0.37543
24464075,130759357,CIUTAT VELLA,LA SEU,Entire home/apt,164.66666666666666,6,3.0,5.0,3,1,241,0.6162744219718437,Mercado,39.47534,-0.37648
24537440,151627031,JESUS,LA RAIOSA,Entire home/apt,101.66666666666667,4,2.0,2.0,2,3,288,1.5460961432294533,Mercado,39.4573,-0.38424
24593553,138282081,LA SAIDIA,MARXALENES,Entire home/apt,93.33333333333333,3,2.0,2.0,2,1,249,2.334806857544025,Mercado,39.48906,-0.38718
24593612,183931403,CAMINS AL GRAU,AIORA,Entire home/apt,116.25,3,2.0,3.0,3,1,163,3.312458351030217,Mercado,39.46204,-0.33912
24644749,83066665,CIUTAT VELLA,SANT FRANCESC,Entire home/apt,330.5,6,3.0,4.0,1,113,138,0.15916928848474082,Mercado,39.4684,-0.37598
24663793,144263787,JESUS,LA RAIOSA,Entire home/apt,200.0,4,3.0,2.0,10,1,0,1.517489707873532,Mercado,39.45782,-0.38482
24682095,186554967,L'EIXAMPLE,RUSSAFA,Entire home/apt,142.5,5,3.0,3.0,11,2,76,0.860073827272989,Mercado,39.46209,-0.37713
24828010,54786224,CIUTAT VELLA,LA SEU,Entire home/apt,125.25,3,2.0,2.0,2,1,110,0.9218528475965576,Mercado,39.47808,-0.37589
24854734,36027066,ALGIROS,L'AMISTAT,Entire home/apt,99.0,4,2.0,6.0,2,2,85,1.9243686903444353,Mercado,39.47198,-0.35413
24866647,17493319,CIUTAT VELLA,SANT FRANCESC,Entire home/apt,77.25,4,1.0,2.0,3,5,223,0.4977188054528542,Mercado,39.46973,-0.38216
24880368,188096161,CAMPANAR,EL CALVARI,Entire home/apt,89.0,5,3.0,3.0,5,1,293,2.24867714529416,Mercado,39.48682,-0.3905
24888287,48238163,EXTRAMURS,LA PETXINA,Entire home/apt,145.0,3,1.0,2.0,5,1,40,1.2291276303104375,Mercado,39.47495,-0.38903
24900099,188263418,L'EIXAMPLE,RUSSAFA,Entire home/apt,285.5,5,3.0,4.0,2,1,74,0.7986655006600246,Mercado,39.462636,-0.375733
24927183,118846910,BENIMACLET,BENIMACLET,Entire home/apt,213.0,6,4.0,4.0,2,1,5,2.3756635970147126,Mercado,39.48575,-0.35796
24940803,188555054,L'EIXAMPLE,LA GRAN VIA,Entire home/apt,197.75,6,3.0,3.0,3,7,104,0.9507962319669128,Mercado,39.4677,-0.36563
25006149,49850828,L'EIXAMPLE,RUSSAFA,Entire home/apt,46.0,2,2.0,2.0,60,1,99,1.0253898495091172,Mercado,39.46059,-0.37689
25022467,21369157,CIUTAT VELLA,LA XEREA,Entire home/apt,73.0,3,1.0,2.0,1,10,310,0.7019924430394807,Mercado,39.4756,-0.37314
25050412,189348244,L'EIXAMPLE,RUSSAFA,Entire home/apt,87.25,4,2.0,3.0,3,1,137,0.7662717117727346,Mercado,39.46331,-0.37337
25070466,175734172,L'EIXAMPLE,RUSSAFA,Entire home/apt,155.5,4,2.0,2.0,40,1,144,1.0375158350347644,Mercado,39.46101,-0.37232
25079627,97229818,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,Entire home/apt,176.75,6,2.0,3.0,1,60,275,2.247253084374064,Mercado,39.45323,-0.36139
25093771,189679098,QUATRE CARRERES,EN CORTS,Entire home/apt,87.0,4,3.0,4.0,11,11,46,1.4137624952786778,Mercado,39.45761,-0.3717
25127509,183217403,ALGIROS,CIUTAT JARDI,Entire home/apt,72.5,5,3.0,4.0,7,2,63,2.445587566711114,Mercado,39.47079,-0.34791
25134809,146886067,CIUTAT VELLA,SANT FRANCESC,Entire home/apt,140.0,4,1.0,2.0,3,1,38,0.27824791640528296,Mercado,39.46996,-0.37313
25211452,89899197,QUATRE CARRERES,MONT-OLIVET,Entire home/apt,119.25,6,3.0,3.0,11,1,48,1.5270198768431924,Mercado,39.46076,-0.36298
25229893,123160301,EXTRAMURS,LA PETXINA,Entire home/apt,123.66666666666667,4,2.0,2.0,3,71,46,1.16841391121465,Mercado,39.47088,-0.3899
25241385,159001529,CIUTAT VELLA,EL MERCAT,Entire home/apt,111.75,4,2.0,4.0,2,1,75,0.44341563110793747,Mercado,39.47272,-0.37988
25252459,190785056,CIUTAT VELLA,EL CARME,Entire home/apt,124.5,2,2.0,2.0,7,1,166,0.8862924728748979,Mercado,39.47753,-0.37887
25260722,43996643,CIUTAT VELLA,LA SEU,Entire home/apt,190.25,2,1.0,2.0,6,2,236,0.8499784943519316,Mercado,39.47716,-0.3737
25276946,97229818,LA SAIDIA,TRINITAT,Entire home/apt,148.75,5,3.0,4.0,1,60,316,1.925431290923597,Mercado,39.48466,-0.36486
25276947,97229818,EL PLA DEL REAL,MESTALLA,Entire home/apt,136.75,4,2.0,4.0,1,60,287,1.388731304568766,Mercado,39.47144,-0.36033
25338259,74180970,CAMINS AL GRAU,AIORA,Entire home/apt,168.25,5,3.0,3.0,4,1,31,3.4684790428068895,Mercado,39.4657,-0.33632
25345350,137557003,CIUTAT VELLA,EL CARME,Entire home/apt,68.5,6,1.0,3.0,32,18,237,0.8970851957767196,Mercado,39.47767,-0.37865
25350101,122264280,ALGIROS,L'AMISTAT,Entire home/apt,86.5,4,2.0,2.0,10,2,28,2.041565679299102,Mercado,39.47114,-0.35265
25360723,158286946,L'EIXAMPLE,EL PLA DEL REMEI,Entire home/apt,1391.0,16,0.0,0.0,2,5,318,0.7190339881837199,Mercado,39.46716,-0.36872
25396491,191719246,LA SAIDIA,TRINITAT,Entire home/apt,133.5,5,4.0,4.0,11,1,59,1.4887708821981294,Mercado,39.48217,-0.36974
25401813,4322082,L'OLIVERETA,TRES FORQUES,Entire home/apt,83.25,5,3.0,4.0,4,2,53,2.2762823004046857,Mercado,39.4679,-0.40276
25418037,12964124,EXTRAMURS,LA ROQUETA,Entire home/apt,104.5,4,2.0,2.0,4,6,30,0.5010609265524792,Mercado,39.46778,-0.38158
25418161,51998361,CAMPANAR,LES TENDETES,Entire home/apt,63.0,3,2.0,2.0,27,1,181,1.9837440154572479,Mercado,39.48535,-0.38768
25435328,192007546,RASCANYA,SANT LLORENS,Entire home/apt,88.0,2,1.0,1.0,2,1,87,3.049013421392802,Mercado,39.49484,-0.36191
25435424,134051803,L'EIXAMPLE,RUSSAFA,Entire home/apt,200.0,5,2.0,3.0,1,32,16,0.7222771341638753,Mercado,39.46402,-0.37253
25435425,134051803,L'EIXAMPLE,RUSSAFA,Entire home/apt,192.5,5,2.0,3.0,1,33,302,0.9597037226156366,Mercado,39.46185,-0.37202
25444782,123160301,EXTRAMURS,ARRANCAPINS,Entire home/apt,74.25,2,1.0,1.0,4,71,30,0.6349541758355194,Mercado,39.46703,-0.38283
25466525,192221980,CIUTAT VELLA,EL PILAR,Entire home/apt,166.5,6,3.0,3.0,2,3,223,0.761711737563156,Mercado,39.47523,-0.38177
25468435,37122909,EL PLA DEL REAL,MESTALLA,Entire home/apt,117.5,4,2.0,2.0,2,12,50,1.6254417097630636,Mercado,39.47546,-0.35891
