id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
476415,Sun Arts Apartment @ Balcony & private Parking,2361433,Raúl,CAMINS AL GRAU,PENYA-ROJA,39.46066,-0.35361,Entire home/apt,152,2,40,2025-06-08,0.40,2,120,8,VT-40428-V
478752,ArtApartment VT39935V. Ready to Live/Pool/Garden,2370939,María,CAMPANAR,SANT PAU,39.49038,-0.40433,Entire home/apt,142,3,247,2025-06-18,1.55,1,313,11,VT-39935-V
509829,room Valencia center/port,2411133,Ferran,CAMINS AL GRAU,CAMI FONDO,39.46548,-0.35487,Private room,,3,1,2023-06-04,0.04,2,362,0,
524523,"Best Location: Mestalla, Single Bed, Free Coffee",140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47639,-0.36467,Private room,35,2,420,2024-12-15,2.68,3,51,22,
530706,Céntrico y acogedor apartamento new WIFI,2605658,Carolina,CIUTAT VELLA,EL PILAR,39.47367,-0.38179,Entire home/apt,69,1,141,2025-05-28,0.89,2,224,17,
547590,CIUDAD DE LAS CIENCIAS CON PARKING PRIVADO & AC,2691959,Guillermo,CAMINS AL GRAU,PENYA-ROJA,39.45842,-0.34611,Entire home/apt,171,15,49,2025-03-10,0.33,1,169,6,
556620,Cozy room in the center,2736688,Begoña,LA SAIDIA,TRINITAT,39.48482805490139,-0.3685763429131575,Private room,38,3,198,2025-06-08,1.47,2,52,20,
579273,Mercat Central Apartment,2849128,Ferran,CIUTAT VELLA,EL PILAR,39.47227,-0.38272,Entire home/apt,70,2,474,2025-06-17,3.30,1,228,67,VT-46067-V
595233,Valencia desing loft lake view. Bikes free parking,2940808,Juan,CAMPANAR,SANT PAU,39.47451,-0.4087,Entire home/apt,81,2,455,2025-06-16,3.05,1,236,54,VT-44610-V
633762,Apto Loft Torres de Serranos,3155089,Francisco,CIUTAT VELLA,LA SEU,39.4787,-0.37599,Entire home/apt,172,1,257,2025-05-09,1.77,12,298,19,V-33840-V
643644,Charming flat in Ruzafa,3218281,Salvo,L'EIXAMPLE,RUSSAFA,39.46052,-0.37771,Entire home/apt,143,2,78,2025-06-02,0.52,1,14,8,VT-38102-V
663047,Wonderful Penthouse. Parking. MONTHLY RENTALS,3095064,Veronica,CAMINS AL GRAU,PENYA-ROJA,39.46358,-0.35514,Entire home/apt,159,1,39,2025-05-27,0.35,1,192,7,
672551,Centro Ciudad 5 Habitaciones 250m2.,3410950,Raquel,CIUTAT VELLA,EL PILAR,39.47409,-0.38381,Entire home/apt,,2,341,2025-06-15,2.24,1,281,30,ESFCTU0000460630003273640000000000000CV-VUT0037977-V3
681002,Ciudad de las Ciencias! Habitacion,3467642,Iriana,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45875,-0.35764,Private room,41,2,420,2025-06-17,2.82,1,93,28,
681925,"Very Central, Stunning Views, Sunny Terrace, Wifi!",3462415,Manuel,CIUTAT VELLA,EL MERCAT,39.47321,-0.38044,Entire home/apt,139,2,925,2025-06-07,5.97,1,223,63,VT-38165-V
682219,FALLA Apartment wifi & terrace next,219476,Antonio,LA SAIDIA,SANT ANTONI,39.486785888671875,-0.37511900067329407,Entire home/apt,49,5,68,2024-08-07,0.46,4,54,2,VT-31465-V
688130,Beautiful 4 bedroom appartment WIFI,3512981,Mari Carmen,EL PLA DEL REAL,MESTALLA,39.47291,-0.35376,Entire home/apt,253,11,81,2024-12-02,0.53,1,323,2,
716081,Ático muy luminoso en Ruzafa,3690047,Mompo Gimeno Asociados Sl,L'EIXAMPLE,RUSSAFA,39.46005,-0.37687,Entire home/apt,122,60,30,2025-02-06,0.25,4,31,1,
720307,Bonito apartamento en pleno centro,3717753,Paul,EXTRAMURS,EL BOTANIC,39.47573,-0.38542,Entire home/apt,58,2,334,2025-06-04,2.29,1,88,32,VT-40916-V
